"","indic_is.ind_type.unit.geo.time","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002"
"1","I_B3_12,CB_EU_FOR,PC_IND,AT","7 ","5 ","10 ","9 ","8 ","8 ","11 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"2","I_B3_12,CB_EU_FOR,PC_IND,BE","11 ","8 ","13 ","12 ","10 ","9 ","10 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"3","I_B3_12,CB_EU_FOR,PC_IND,BG","0 u","3 u","14 u","13 u",": u",": u",": u","0 ",": ",": ",": ",": ",": ",": ",": ",": "
"4","I_B3_12,CB_EU_FOR,PC_IND,CH","4 b",": ",": ","4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"5","I_B3_12,CB_EU_FOR,PC_IND,CY","9 ","11 ","7 ","4 ","4 ","5 ","7 ","6 ",": ",": ",": ",": ",": ",": ",": ",": "
"6","I_B3_12,CB_EU_FOR,PC_IND,CZ","24 ","11 ","19 ","9 ","13 ","12 ","12 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"7","I_B3_12,CB_EU_FOR,PC_IND,DE","9 ","10 ","8 ","9 ","8 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"8","I_B3_12,CB_EU_FOR,PC_IND,DK","10 ","7 ","13 ","12 ","8 ","12 ","14 ","13 ",": ",": ",": ",": ",": ",": ",": ",": "
"9","I_B3_12,CB_EU_FOR,PC_IND,EA","9 ","10 ","10 ","9 ","8 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"10","I_B3_12,CB_EU_FOR,PC_IND,EE","16 u","8 u","0 u","15 bu","11 u","5 u","2 u","11 u",": ",": ",": ",": ",": ",": ",": ",": "
"11","I_B3_12,CB_EU_FOR,PC_IND,EL","5 ","8 ","7 ","9 ","6 ","21 u","6 ","10 ",": ",": ",": ",": ",": ",": ",": ",": "
"12","I_B3_12,CB_EU_FOR,PC_IND,ES","11 ","10 ","12 ","12 ","10 ","10 ","9 ","7 ",": ",": ",": ",": ",": ",": ",": ",": "
"13","I_B3_12,CB_EU_FOR,PC_IND,EU15","9 ","9 ","10 ","9 ","9 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"14","I_B3_12,CB_EU_FOR,PC_IND,EU27","9 ","10 ","10 ","9 ","9 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"15","I_B3_12,CB_EU_FOR,PC_IND,EU28","9 ","10 ","10 ","9 ","9 ","9 ","8 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"16","I_B3_12,CB_EU_FOR,PC_IND,FI","8 u","20 u","14 u","8 u","21 u","21 u","0 u","25 ",": ",": ",": ",": ",": ",": ",": ",": "
"17","I_B3_12,CB_EU_FOR,PC_IND,FR","10 ","13 ","14 ","9 ","10 ","9 ","5 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"18","I_B3_12,CB_EU_FOR,PC_IND,HR","3 ","15 ","1 u","4 ","28 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": "
"19","I_B3_12,CB_EU_FOR,PC_IND,HU","13 ","12 ","9 ","19 ","3 ","12 ","16 ","8 ",": ",": ",": ",": ",": ",": ",": ",": "
"20","I_B3_12,CB_EU_FOR,PC_IND,IE","10 ","21 ","9 ","9 ","11 ","12 ","11 ","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"21","I_B3_12,CB_EU_FOR,PC_IND,IS","21 ",": ",": ","21 u","27 u","13 ","14 ","16 ",": ",": ",": ",": ",": ",": ",": ",": "
"22","I_B3_12,CB_EU_FOR,PC_IND,IT","8 ","7 ","7 ","5 ","3 ",": u","3 ",": u",": ",": ",": ",": ",": ",": ",": ",": "
"23","I_B3_12,CB_EU_FOR,PC_IND,LT","19 u","0 u","18 u","5 u","0 u","11 u","0 u",": u",": ",": ",": ",": ",": ",": ",": ",": "
"24","I_B3_12,CB_EU_FOR,PC_IND,LU","10 ","10 ","12 ","11 ","11 ","11 ","11 ","12 ",": ",": ",": ",": ",": ",": ",": ",": "
"25","I_B3_12,CB_EU_FOR,PC_IND,LV","7 ","11 b","5 ","5 ","8 ","7 ","3 ",": ",": ",": ",": ",": ",": ",": ",": ",": "
