"Archive.Date"	"Group"	"Hospital.HIPE"	"Hospital"	"Specialty.HIPE"	"Speciality"	"Adult.Child"	"Age.Profile"	"Time.Bands"	"Total"
"6076"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"16-64"	" 0-3 Months"	215
"6077"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"16-64"	" 3-6 Months"	143
"6078"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"16-64"	" 6-9 Months"	73
"6079"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"16-64"	" 9-12 Months"	33
"6080"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"16-64"	"12-15 Months"	22
"6081"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"16-64"	"15-18 Months"	4
"6082"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"16-64"	"18+ Months"	40
"6083"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"65+"	" 0-3 Months"	118
"6084"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"65+"	" 3-6 Months"	88
"6085"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"65+"	" 6-9 Months"	45
"6086"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"65+"	" 9-12 Months"	23
"6087"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"65+"	"12-15 Months"	17
"6088"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"65+"	"15-18 Months"	4
"6089"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Adult"	"65+"	"18+ Months"	22
"6090"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0100"	"Cardiology"	"Child"	" 0-15"	" 0-3 Months"	2
"6091"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Adult"	"16-64"	" 0-3 Months"	630
"6092"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Adult"	"16-64"	" 3-6 Months"	395
"6093"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Adult"	"16-64"	" 6-9 Months"	212
"6094"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Adult"	"16-64"	" 9-12 Months"	103
"6095"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Adult"	"16-64"	"12-15 Months"	71
"6096"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Adult"	"16-64"	"15-18 Months"	37
"6097"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Adult"	"65+"	" 0-3 Months"	211
"6098"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Adult"	"65+"	" 3-6 Months"	178
"6099"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Adult"	"65+"	" 6-9 Months"	111
"6100"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Adult"	"65+"	" 9-12 Months"	36
"6101"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Adult"	"65+"	"12-15 Months"	11
"6102"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Adult"	"65+"	"15-18 Months"	13
"6103"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Child"	" 0-15"	" 0-3 Months"	119
"6104"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Child"	" 0-15"	" 3-6 Months"	77
"6105"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Child"	" 0-15"	" 6-9 Months"	30
"6106"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Child"	" 0-15"	" 9-12 Months"	23
"6107"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Child"	" 0-15"	"12-15 Months"	11
"6108"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0300"	"Dermatology"	"Child"	" 0-15"	"15-18 Months"	13
"6109"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0400"	"Endocrinology"	"Adult"	"16-64"	" 0-3 Months"	98
"6110"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0400"	"Endocrinology"	"Adult"	"16-64"	" 3-6 Months"	92
"6111"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0400"	"Endocrinology"	"Adult"	"16-64"	" 6-9 Months"	55
"6112"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0400"	"Endocrinology"	"Adult"	"16-64"	" 9-12 Months"	70
"6113"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0400"	"Endocrinology"	"Adult"	"16-64"	"12-15 Months"	55
"6114"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0400"	"Endocrinology"	"Adult"	"16-64"	"15-18 Months"	58
"6115"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0400"	"Endocrinology"	"Adult"	"16-64"	"18+ Months"	26
"6116"	"2017-01-31"	"University of Limerick Hospital Group"	300	"University Hospital Limerick"	"0400"	"Endocrinology"	"Adult"	"65+"	" 0-3 Months"	29
