"...1";"the weight of the stock-picking concept";"...3";"...4";"...5";"...6";"...7";"the original investment performance indicator";"...9";"...10";"...11";"...12";"...13";"the normalized  investment performance indicator";"...15";"...16";"...17";"...18";"...19"
"1";"ID";"Large B/P";"Large ROE";"Large S/P";"Large Return Rate in the last quarter";"Large Market Value";"Small systematic Risk";"Annual Return";"Excess Return";"Systematic Risk";"Total Risk";"Abs. Win Rate";"Rel. Win Rate";"Annual Return";"Excess Return";"Systematic Risk";"Total Risk";"Abs. Win Rate";"Rel. Win Rate"
"2";"1";"1";"0";"0";"0";"0";"0";"1.9516347660467392E-2";"1.3398514956045385E-2";"1.9026078584219428";"0.21861731722254843";"0.6";"0.4";"0.48822860138564222";"0.60944464861318048";"0.78075567293536086";"0.8";"0.67999999999999994";"0.33333333333333337"
"3";"2";"0";"1";"0";"0";"0";"0";"2.3828823418921896E-2";"6.4098622311201999E-3";"1.2632866697609746";"0.1287395783716751";"0.55000000000000004";"0.65";"0.50527942292836481";"0.50816928683762908";"0.44377597972770044";"0.4142203748676262";"0.56000000000000005";"0.66666666666666674"
"4";"3";"0";"0";"1";"0";"0";"0";"8.0281575447315179E-2";"2.6548062411328441E-2";"1.8943391147485202";"0.20827178741984184";"0.55000000000000004";"0.5";"0.72848434148231234";"0.8";"0.77639730228270221";"0.75559418093832953";"0.56000000000000005";"0.46666666666666667"
"5";"4";"0";"0";"0";"1";"0";"0";"-6.6831860340360594E-3";"7.2834057000847365E-4";"1.4254536719692612";"0.15552629963535758";"0.55000000000000004";"0.35";"0.38463994406931112";"0.42583608409991813";"0.52925255648094449";"0.52919624564219903";"0.56000000000000005";"0.26666666666666666"
"6";"5";"0";"0";"0";"0";"1";"0";"2.1999277131416362E-2";"4.4070403480307319E-3";"1.0945787242065914";"0.10672863486558505";"0.65";"0.7";"0.49804569710596458";"0.47914559389342881";"0.35485173829330796";"0.31974343716141274";"0.8";"0.73333333333333339"
"7";"6";"0";"0";"0";"0";"0";"1";"-5.3382125486671539E-2";"-1.4855804841677797E-2";"0.85999481422572843";"8.8857709009568839E-2";"0.4";"0.3";"0.2";"0.2";"0.23120494632263736";"0.24303657775831378";"0.2";"0.2"
"8";"7";"0.5";"0.5";"0";"0";"0";"0";"6.1851044285710977E-2";"1.6324045312945956E-2";"1.3921924406140072";"0.1441318442352825";"0.55000000000000004";"0.65";"0.65561304541577514";"0.65183967909219676";"0.51172089987923219";"0.48028815350470072";"0.56000000000000005";"0.66666666666666674"
"9";"8";"0.5";"0";"0.5";"0";"0";"0";"6.170040063822535E-2";"2.3369738783702784E-2";"1.9391183850261786";"0.21823776267567913";"0.6";"0.5";"0.65501742515175709";"0.75394164112926121";"0.8";"0.79837084897016086";"0.67999999999999994";"0.46666666666666667"
"10";"9";"0";"0.5";"0.5";"0";"0";"0";"7.823215643058723E-2";"1.9665240550698633E-2";"1.3544615742215125";"0.13768116748767115";"0.55000000000000004";"0.7";"0.72038127496605808";"0.70025827560641596";"0.49183334412962204";"0.45260009982911087";"0.56000000000000005";"0.73333333333333339"
"11";"10";"0.5";"0";"0";"0.5";"0";"0";"6.8514769481931026E-2";"1.9033725250179656E-2";"1.5249573452882428";"0.16283459772129269";"0.55000000000000004";"0.4";"0.68196032143413643";"0.69110673480961093";"0.58169993019977007";"0.56056544264242247";"0.56000000000000005";"0.33333333333333337"
"12";"11";"0";"0.5";"0";"0.5";"0";"0";"4.7261263119936725E-2";"1.2332054248203304E-2";"1.2473755016684824";"0.1317849944282829";"0.65";"0.65";"0.59792744462896719";"0.59399013996076011";"0.43538936492831698";"0.42729212633480107";"0.8";"0.66666666666666674"
"13";"12";"0";"0";"0.5";"0.5";"0";"0";"9.8369240193244556E-2";"2.6358632130165462E-2";"1.5914086764269053";"0.16614424658541696";"0.6";"0.55000000000000004";"0.8";"0.79725489003229444";"0.61672575067546531";"0.57477135296511239";"0.67999999999999994";"0.53333333333333344"
"14";"13";"0.5";"0";"0";"0";"0.5";"0";"2.5587248146548669E-2";"7.3686401822769133E-3";"1.4207594823452026";"0.1459952622882911";"0.55000000000000004";"0.5";"0.51223194577288056";"0.52206332159478719";"0.52677829689526268";"0.4882864490464624";"0.56000000000000005";"0.46666666666666667"
"15";"14";"0";"0.5";"0";"0";"0.5";"0";"4.6019322980029198E-2";"1.0737318614329461E-2";"1.0915371853345619";"0.10993077989235094";"0.65";"0.75";"0.59301701709768373";"0.57088018806961571";"0.35324857410267263";"0.33348791186493087";"0.8";"0.8"
"16";"15";"0";"0";"0.5";"0";"0.5";"0";"4.1670079352434719E-2";"1.1047152275003913E-2";"1.4195464063668173";"0.1423724996906521";"0.55000000000000004";"0.5";"0.57582082143338309";"0.5753701115656189";"0.52613889689056381";"0.47273656968000816";"0.56000000000000005";"0.46666666666666667"
"17";"16";"0";"0";"0";"0.5";"0.5";"0";"3.5745452822371293E-2";"9.4850035376166167E-3";"1.2032444976397074";"0.12942802644366666";"0.65";"0.6";"0.55239582026709355";"0.55273238942471614";"0.41212836175445089";"0.41717538066251691";"0.8";"0.6"
"18";"17";"0.5";"0";"0";"0";"0";"0.5";"-2.3439252585281234E-2";"-6.1771166791660097E-3";"0.97732478377323506";"0.10692409535861387";"0.65";"0.45";"0.31838920632008455";"0.32576634123782211";"0.29304837939419448";"0.3205824065958125";"0.8";"0.4"
"19";"18";"0";"0.5";"0";"0";"0";"0.5";"6.221762936628572E-3";"1.5274286168910807E-4";"0.86412171989263131";"8.7285639231893766E-2";"0.6";"0.5";"0.4356639948098544";"0.41749486749613474";"0.23338019630683171";"0.23628882801218706";"0.67999999999999994";"0.46666666666666667"
"20";"19";"0";"0";"0.5";"0";"0";"0.5";"1.5310005301830243E-2";"3.275267111806114E-3";"1.066938444843706";"0.10901449884578956";"0.55000000000000004";"0.6";"0.47159741389105536";"0.4627446152702191";"0.34028282829145529";"0.32955498516719928";"0.56000000000000005";"0.6"
"21";"20";"0";"0";"0";"0.5";"0";"0.5";"1.0983023220414445E-3";"-6.4128167954755066E-4";"1.007703751664748";"0.10340366103724129";"0.55000000000000004";"0.5";"0.41540667221523397";"0.40598834029589104";"0.30906082425229242";"0.30547174793699083";"0.56000000000000005";"0.46666666666666667"
"22";"21";"0";"0";"0";"0";"0.5";"0.5";"1.0033508707890659E-2";"7.0676955869302272E-4";"0.80079248311435125";"7.8831180792922409E-2";"0.55000000000000004";"0.45";"0.45073501214475764";"0.42552348994753658";"0.2";"0.2";"0.56000000000000005";"0.4"
"23";"22";"0.33300000000000002";"0.33300000000000002";"0.33300000000000002";"0";"0";"0";"7.8026492485545385E-2";"2.1300914055530452E-2";"1.5092227906224032";"0.15804313871492751";"0.55000000000000004";"0.65";"0.71956811347342686";"0.72396147455887228";"0.5734064065404666";"0.53999920140242352";"0.56000000000000005";"0.66666666666666674"
"24";"23";"0.33300000000000002";"0.33300000000000002";"0";"0.33300000000000002";"0";"0";"6.4257711005189622E-2";"1.6128935465264525E-2";"1.3476863669200327";"0.13796606051627516";"0.6";"0.5";"0.66512861073024454";"0.64901226425450764";"0.48826220130131565";"0.45382293795546874";"0.67999999999999994";"0.46666666666666667"
"25";"24";"0.33300000000000002";"0";"0.33300000000000002";"0.33300000000000002";"0";"0";"6.8259630146325412E-2";"2.0216587021136732E-2";"1.6743200278857511";"0.17705627957957304";"0.55000000000000004";"0.4";"0.6809515423653123";"0.70824805782268574";"0.66042748037498056";"0.62160875732952725";"0.56000000000000005";"0.33333333333333337"
"26";"25";"0";"0.33300000000000002";"0.33300000000000002";"0.33300000000000002";"0";"0";"8.0517466018859229E-2";"2.0036460343281402E-2";"1.3318378731286173";"0.13566240435134197";"0.55000000000000004";"0.65";"0.729417014096442";"0.70563777009152329";"0.47990862148829494";"0.44393502106854799";"0.56000000000000005";"0.66666666666666674"
"27";"26";"0.33300000000000002";"0.33300000000000002";"0";"0";"0.33300000000000002";"0";"4.529966557147036E-2";"1.086534234293828E-2";"1.2565054212229587";"0.12433919784634248";"0.6";"0.7";"0.59017160978816352";"0.57273543112447101";"0.4402016526250877";"0.39533274850756311";"0.67999999999999994";"0.73333333333333339"
